assetId,cloudinaryPublicId,cloudinaryUrl,role,energy,lifecycleStatus,productFamily,assetClass,vectorType,isInvertible,isThemable,complexity,aspectHint,aspectRatio,aspectClass,sizeClass,format,width,height,bytes,transparent,variant,hasGoldAccent,tileable,notes,createdAt,enrichedAt,tags
430f3f4ed0f4de6a,samples/woman-on-a-football-field,https://res.cloudinary.com/sarah-sahl/image/upload/v1768004455/samples/woman-on-a-football-field.jpg,other,medium,draft,relevnt_core,raster,mixed,false,false,low,unknown,0.8888888888888888,square,card,jpg,1200,1350,416598,,unknown,,,,2026-01-10T00:20:55+00:00,2026-01-10T18:59:12.216Z,samples|sport|woman|female|tattoo|street|urban|casual|sporty|white t-shirt|black pants|sneakers
f9e4a40aef58f039,samples/man-portrait,https://res.cloudinary.com/sarah-sahl/image/upload/v1768004455/samples/man-portrait.jpg,other,medium,draft,relevnt_core,raster,mixed,false,false,low,unknown,0.6665,portrait,hero,jpg,1333,2000,505607,,unknown,,,,2026-01-10T00:20:55+00:00,2026-01-10T18:59:12.234Z,man|portrait|samples|young man|sunglasses|fashion|yellow background
6be7c51a7e6c0392,samples/outdoor-woman,https://res.cloudinary.com/sarah-sahl/image/upload/v1768004455/samples/outdoor-woman.jpg,other,medium,draft,relevnt_core,raster,mixed,false,false,low,unknown,0.6645898234683282,portrait,card,jpg,640,963,93473,,unknown,,,,2026-01-10T00:20:55+00:00,2026-01-10T18:59:12.234Z,samples|woman|outdoors|nature|clothing|sweater|shorts|boots
65c269ec42d87b26,samples/two-ladies,https://res.cloudinary.com/sarah-sahl/image/upload/v1768004454/samples/two-ladies.jpg,other,medium,draft,relevnt_core,raster,mixed,false,false,low,unknown,1.25,landscape,card,jpg,1500,1200,211712,,unknown,,,,2026-01-10T00:20:54+00:00,2026-01-10T18:59:12.234Z,girl|samples|friends|laughing|happiness|color|fashion
30da57a22ebfbd4e,samples/smile,https://res.cloudinary.com/sarah-sahl/image/upload/v1768004454/samples/smile.jpg,other,medium,draft,relevnt_core,raster,mixed,false,false,low,unknown,1.552,landscape,card,jpg,1552,1000,657749,,unknown,,,,2026-01-10T00:20:54+00:00,2026-01-10T18:59:12.234Z,man|samples|smile|outdoor|street|shirt|hat
b2cd65e92605f5cb,samples/man-on-a-street,https://res.cloudinary.com/sarah-sahl/image/upload/v1768004454/samples/man-on-a-street.jpg,other,medium,draft,relevnt_core,raster,mixed,false,false,low,unknown,1,square,card,jpg,1340,1340,564013,,unknown,,,,2026-01-10T00:20:54+00:00,2026-01-10T18:59:12.234Z,man|street|urban|fashion|technology|businessman|smartphone|vintage|chair
917b04a964f7119b,samples/logo,https://res.cloudinary.com/sarah-sahl/image/upload/v1768004454/samples/logo.png,background-soft,medium,approved,relevnt_core,raster,mixed,false,false,low,unknown,1.5286624203821657,landscape,texture,png,480,314,10897,,unknown,,,,2026-01-10T00:20:54+00:00,2026-01-10T18:59:12.234Z,logo|samples
dce3c45da1b1eba6,samples/chair,https://res.cloudinary.com/sarah-sahl/image/upload/v1768004454/samples/chair.png,other,medium,draft,relevnt_core,raster,mixed,false,false,low,unknown,1.3333333333333333,landscape,small,png,800,600,130488,,unknown,,,,2026-01-10T00:20:54+00:00,2026-01-10T18:59:12.234Z,chair|samples|furniture|design|modern|minimalist
8e0c9ec09288c81a,samples/coffee,https://res.cloudinary.com/sarah-sahl/image/upload/v1768004454/samples/coffee.jpg,other,medium,draft,relevnt_core,raster,mixed,false,false,low,unknown,1.5,landscape,card,jpg,1920,1280,165287,,unknown,,,,2026-01-10T00:20:54+00:00,2026-01-10T18:59:12.235Z,coffee|samples|cafe|table|glass|ceramic|wood|outdoors|nature
cc9f8a875bbffdad,samples/upscale-face-1,https://res.cloudinary.com/sarah-sahl/image/upload/v1768004454/samples/upscale-face-1.jpg,other,medium,draft,relevnt_core,raster,mixed,false,false,low,unknown,1,square,small,jpg,233,233,18110,,unknown,,,,2026-01-10T00:20:54+00:00,2026-01-10T18:59:12.235Z,face|samples|woman|portrait|redhead|outdoor|nature
9768dba30f18a83b,cld-sample-3,https://res.cloudinary.com/sarah-sahl/image/upload/v1768004435/cld-sample-3.jpg,other,medium,draft,relevnt_core,raster,mixed,false,false,low,unknown,1.496,landscape,card,jpg,1870,1250,905834,,unknown,,,,2026-01-10T00:20:35+00:00,2026-01-10T18:59:12.235Z,basketball|samples|sport|boxing|exercise|urban|youth
52a4ec0479cebf5a,cld-sample-2,https://res.cloudinary.com/sarah-sahl/image/upload/v1768004435/cld-sample-2.jpg,other,medium,draft,relevnt_core,raster,mixed,false,false,low,unknown,1.496,landscape,card,jpg,1870,1250,592235,,unknown,,,,2026-01-10T00:20:35+00:00,2026-01-10T18:59:12.235Z,mountains|samples|snow|landscape|nature|winter|scenic|alpine|peak|geology|clouds
03b3e97d32f11711,cld-sample-5,https://res.cloudinary.com/sarah-sahl/image/upload/v1768004435/cld-sample-5.jpg,other,medium,draft,relevnt_core,raster,mixed,false,false,low,unknown,1.496,landscape,card,jpg,1870,1250,379132,,unknown,,,,2026-01-10T00:20:35+00:00,2026-01-10T18:59:12.235Z,samples|shoe|sneaker|athletic|sportswear|lace-up|white|blue
64b40ada90cf3d7d,cld-sample,https://res.cloudinary.com/sarah-sahl/image/upload/v1768004435/cld-sample.jpg,other,medium,draft,relevnt_core,raster,mixed,false,false,low,unknown,1.496,landscape,card,jpg,1870,1250,476846,,unknown,,,,2026-01-10T00:20:35+00:00,2026-01-10T18:59:12.235Z,dog|girl|samples|woman|pink|happy|smile|glasses|curly hair
cabe93b75886ddda,cld-sample-4,https://res.cloudinary.com/sarah-sahl/image/upload/v1768004435/cld-sample-4.jpg,other,medium,draft,relevnt_core,raster,mixed,false,false,low,unknown,1.496,landscape,card,jpg,1870,1250,818600,,unknown,,,,2026-01-10T00:20:35+00:00,2026-01-10T18:59:12.235Z,breakfast|food|samples|healthy|fruits|grains|waffles|coffee|table setting
